N,P,K,temperature,humidity,ph,rainfall,label
76,50,42,25.6858,83.3732,5.5809,202.5153,rice
100,59,38,21.5964,84.0483,5.56,191.2417,rice
73,48,42,19.9944,85.1357,6.3859,230.912,rice
82,53,39,25.2826,84.1745,5.8467,191.8871,rice
76,48,34,22.6014,82.7519,5.9126,250.9448,rice
72,50,46,21.3603,81.2681,5.658,262.1982,rice
68,36,37,20.6238,82.0671,6.9058,185.0245,rice
95,49,38,23.7283,82.2809,5.6471,192.8673,rice
96,40,41,25.9006,84.9206,6.5698,229.3059,rice
87,45,42,20.9068,83.7111,7.1605,187.571,rice
97,45,39,24.1588,82.7612,6.4791,263.3337,rice
81,40,43,22.0818,80.0411,6.1552,264.9581,rice
62,45,38,22.9878,82.712,6.3557,246.7011,rice
68,40,40,25.1299,82.4712,6.022,242.295,rice
70,48,41,20.78,83.3085,5.8988,291.9527,rice
95,38,36,23.9177,82.9501,6.7303,285.2413,rice
85,38,44,23.9741,81.3961,5.7788,268.3536,rice
76,61,40,24.6764,81.818,6.0841,253.862,rice
71,44,17,23.7305,54.8416,6.5772,75.1606,maize
92,47,13,23.0051,68.4605,5.6894,100.6807,maize
86,56,24,20.7253,60.2406,5.7512,106.9868,maize
93,51,23,17.7738,57.394,5.9335,90.4718,maize
95,50,26,25.9626,57.6205,6.8723,59.8788,maize
86,44,26,24.4639,67.895,5.6998,96.5415,maize
77,39,15,18.2903,52.4989,5.7321,109.5723,maize
67,51,21,19.0615,55.6178,6.6323,83.8421,maize
78,59,23,24.0317,59.0867,6.3187,92.3911,maize
88,53,16,21.0059,62.4035,5.5273,75.8871,maize
67,47,15,25.3767,55.5964,6.0047,68.9269,maize
98,59,17,24.5643,61.8633,6.0122,109.8511,maize
63,47,15,25.2863,61.7024,6.3875,65.485,maize
70,41,14,23.2318,67.9669,5.8653,59.7931,maize
87,58,23,23.0694,54.7755,6.9887,102.7198,maize
68,44,19,22.1083,65.0098,7.0007,69.1192,maize
95,58,22,20.5216,66.6519,6.1938,101.6281,maize
88,56,22,22.8354,65.8498,6.6745,89.0177,maize
87,53,17,21.4538,55.8598,6.0147,93.7499,maize
88,49,16,24.4052,55.0922,6.6908,68.2599,maize
102,43,22,24.2121,68.4741,6.306,90.6475,maize
62,51,20,22.6368,64.0489,6.4977,97.9833,maize
89,52,24,21.9727,61.7928,5.7789,85.7187,maize
88,37,17,25.6287,58.9891,6.3901,88.6505,maize
68,46,24,25.3882,54.9202,6.6879,87.4102,maize
68,50,16,24.3234,64.0274,6.9123,65.2847,maize
71,52,16,24.4771,56.2276,6.2401,65.1927,maize
62,46,15,24.8106,69.6838,5.7233,98.5324,maize
64,39,18,21.1645,67.6766,6.2589,79.8378,maize
97,56,20,22.0692,62.5514,6.4119,83.2756,maize
66,44,23,22.6585,58.0122,6.7432,104.3958,maize
81,38,19,25.8585,60.0382,6.8507,113.6241,maize
93,44,24,23.039,56.8228,6.4923,101.153,maize
67,46,22,18.22,68.6646,6.6867,90.189,maize
65,37,21,22.8987,67.5982,6.8705,62.452,maize
88,48,20,22.3284,67.0569,5.9636,64.076,maize
78,54,22,23.1933,61.4803,6.65,81.554,maize
94,43,22,24.4227,63.179,6.0214,76.1807,maize
70,60,22,23.0122,56.4773,6.0763,81.9086,maize
94,40,26,24.5177,67.8817,5.5637,117.3314,maize
66,39,16,22.6685,60.4214,6.419,78.5334,maize
60,48,25,26.1889,63.3228,5.6144,106.5739,maize
84,44,21,22.7862,65.5938,6.4812,99.7987,maize
75,46,22,26.1835,62.6897,6.5542,85.1281,maize
64,41,24,20.9856,63.3151,5.7364,92.9397,maize
77,60,19,19.7344,64.1953,5.5999,69.6926,maize
77,44,23,24.5977,63.2863,5.7431,96.7488,maize
76,52,19,18.6723,60.3404,6.9834,94.5947,maize
80,56,28,18.8422,66.5774,5.6729,90.9757,maize
96,55,19,24.201,59.391,5.946,103.5033,maize
72,47,17,23.1946,65.6334,6.5165,71.6643,maize
65,45,19,23.6893,64.5107,5.9995,70.8224,maize
76,58,19,18.4655,55.7039,6.1724,60.3029,maize
70,45,15,22.5895,62.5047,6.626,99.322,maize
70,64,21,21.5752,65.6677,5.8215,79.9626,maize
59,49,21,20.2038,69.0688,6.8911,94.3912,maize
71,59,22,18.9178,62.5799,6.899,85.3727,maize
74,51,24,26.728,60.9625,6.7218,103.8952,maize
97,57,18,26.5018,61.3148,6.1909,97.0566,maize
70,42,26,17.759,70.3992,6.5953,105.1949,maize
82,51,23,23.2482,56.4359,6.218,64.0334,maize
73,34,18,24.7661,64.6664,5.6583,62.676,maize
71,48,17,24.2661,71.8722,6.2762,74.6461,maize
87,42,21,25.39,65.2903,6.2593,83.9621,maize
86,34,21,21.4211,54.729,6.1889,65.986,maize
71,55,23,20.6849,68.5149,6.2083,112.835,maize
58,41,23,23.8551,69.0526,6.6555,109.5783,maize
79,45,22,20.0433,60.8311,6.1169,56.9236,maize
81,59,19,23.416,65.6643,5.8668,67.7915,maize
71,44,14,17.7224,62.5469,6.1427,105.697,maize
61,50,24,22.7674,66.144,5.8936,87.8918,maize
75,35,18,23.7065,71.1028,6.6105,57.0373,maize
64,41,17,22.0317,65.5495,6.1509,64.5863,maize
88,48,14,25.1831,65.0057,6.181,93.3268,maize
88,38,16,17.2574,63.9339,6.194,70.9214,maize
77,48,21,17.596,57.9484,6.3707,63.6434,maize
63,52,25,19.0893,65.9274,6.9449,114.1474,maize
69,47,24,22.9312,54.7295,5.4666,79.1809,maize
74,33,20,24.0371,56.8781,5.9921,85.8516,maize
69,49,17,23.7062,59.2923,5.798,108.834,maize
80,49,19,23.0933,59.6465,5.897,101.9511,maize
91,41,17,19.239,68.0407,6.3284,86.4331,maize
67,52,19,20.0307,60.3485,5.4815,72.4802,maize
95,47,18,20.6289,67.1117,6.8991,73.975,maize
60,50,24,19.9076,66.7428,6.28,96.0652,maize
97,57,23,24.8484,61.3085,6.8257,89.229,maize
68,59,24,24.0432,65.1934,6.4876,107.0531,maize
70,54,24,23.1639,68.9795,5.3622,90.7255,maize
64,58,19,21.7554,59.4204,6.7431,88.6228,maize
72,49,15,24.036,62.3037,5.5869,96.4466,maize
96,50,21,22.8563,56.6566,6.1352,105.115,maize
86,44,16,21.6821,59.0335,5.7358,85.0361,maize
65,61,15,19.2916,64.6413,6.2818,91.3507,maize
83,54,22,22.2355,54.8968,6.4308,67.5568,maize
95,37,18,21.656,56.4052,6.6139,113.5686,maize
72,51,15,19.3353,67.3302,6.6014,57.1085,maize
86,51,25,19.071,69.4267,6.9289,99.3293,maize
95,49,23,19.7504,61.2197,6.7824,101.92,maize
76,51,26,18.5678,67.6232,5.901,90.9421,maize
68,40,19,18.4688,57.1725,6.3878,99.9575,maize
38,66,80,18.4197,20.2077,8.0485,67.2305,chickpea
54,73,82,20.7128,17.8231,6.9955,81.841,chickpea
26,56,81,19.7857,17.6804,5.912,60.4185,chickpea
23,62,74,18.8137,20.1889,7.5702,84.3795,chickpea
39,64,85,19.1226,17.1897,5.7754,82.5087,chickpea
40,68,77,20.3114,17.1039,7.1971,83.7661,chickpea
53,69,78,19.8171,16.9808,6.2361,93.13,chickpea
23,67,77,18.1842,17.8294,6.9547,93.9928,chickpea
34,71,83,20.3834,19.9404,5.5707,75.2857,chickpea
41,59,83,19.5805,19.0226,6.2646,76.207,chickpea
53,67,80,17.2822,18.2203,7.9917,66.2664,chickpea
23,70,81,20.3732,18.8508,8.1693,68.683,chickpea
29,74,75,20.0986,15.8631,7.8103,87.785,chickpea
43,57,82,18.5267,17.954,8.6841,77.8211,chickpea
56,79,74,17.4817,15.8547,6.0245,72.3473,chickpea
23,76,81,19.0779,19.6865,8.4437,90.2699,chickpea
31,71,86,21.5152,16.6434,7.2816,77.2967,chickpea
37,77,76,19.6169,20.1394,7.9963,80.0601,chickpea
39,73,81,19.2099,13.9925,8.1956,75.0173,chickpea
57,70,79,17.8544,15.8827,5.6741,73.6785,chickpea
34,75,85,16.8778,19.8299,7.7101,90.8701,chickpea
28,61,81,18.5115,14.8551,5.9659,64.208,chickpea
28,59,79,18.2312,16.4519,5.704,78.0754,chickpea
26,69,78,18.034,17.5705,6.4461,76.4572,chickpea
40,73,78,19.4192,20.5879,8.5102,57.7925,chickpea
50,64,83,19.5793,18.2671,7.3108,87.0782,chickpea
27,67,80,19.4315,16.0865,7.479,70.8956,chickpea
26,63,84,17.9184,16.1164,7.4896,88.8146,chickpea
29,59,74,20.3518,19.7921,7.6929,84.227,chickpea
54,66,82,19.8498,16.1555,7.2196,67.2467,chickpea
46,77,77,18.8544,15.5004,5.5328,77.4618,chickpea
34,76,83,19.9153,16.2961,8.2145,78.5874,chickpea
52,58,76,17.6939,20.1388,7.8909,88.1827,chickpea
56,54,82,19.0052,17.721,9.065,72.0239,chickpea
54,60,79,20.957,13.66,5.8242,80.2619,chickpea
49,72,84,21.0835,18.8505,8.2632,61.1367,chickpea
31,63,77,17.4431,17.9301,8.2458,62.5516,chickpea
24,69,87,18.7421,18.9537,7.6398,88.1464,chickpea
21,74,84,18.4582,16.14,7.1822,68.2314,chickpea
34,57,72,20.3094,16.8185,6.2835,90.0481,chickpea
36,64,82,17.662,16.5297,5.8426,75.0397,chickpea
27,73,75,20.9618,17.437,7.3664,68.2141,chickpea
47,55,75,18.0374,18.4673,8.8274,77.0466,chickpea
33,55,78,18.8114,18.0463,7.7942,64.4566,chickpea
27,76,83,18.6403,18.9766,8.004,103.6928,chickpea
37,69,81,17.4928,19.4746,7.3854,96.4348,chickpea
43,61,83,17.7114,16.543,6.4046,65.5585,chickpea
45,73,72,20.1732,15.6228,7.6496,65.6329,chickpea
47,78,75,18.3188,14.9073,5.5475,85.269,chickpea
34,52,84,17.0659,19.3799,6.6677,61.1019,chickpea
29,79,80,18.9251,13.2674,6.9304,93.3577,chickpea
20,70,80,18.0344,17.4288,7.3089,66.368,chickpea
35,63,83,17.0639,14.8608,6.9327,83.5692,chickpea
27,70,86,19.094,20.0154,6.9788,78.8376,chickpea
56,63,82,19.749,18.5255,7.0257,78.2258,chickpea
28,79,74,18.3374,21.419,7.932,99.3156,chickpea
35,63,85,18.0678,18.1756,6.1052,82.7148,chickpea
39,53,76,18.5381,13.8843,7.7283,82.4815,chickpea
40,67,74,17.8778,19.9061,6.7178,93.0744,chickpea
47,74,87,18.0642,15.0516,6.3614,77.4005,chickpea
44,69,81,17.2098,15.0945,8.438,86.0644,chickpea
19,64,85,20.0498,19.3321,7.2676,66.4934,chickpea
31,59,75,20.133,18.4265,7.4757,87.2471,chickpea
44,62,81,19.1828,18.9525,8.3458,86.112,chickpea
51,60,79,21.9931,16.1976,7.0477,92.4212,chickpea
30,65,78,19.9088,18.9007,7.5912,95.8885,chickpea
36,75,78,17.9736,13.0282,8.065,87.1533,chickpea
56,62,72,17.4603,16.1742,5.9958,94.5094,chickpea
50,55,80,21.5072,17.4105,8.8048,63.9542,chickpea
48,62,74,18.8014,18.0543,8.6379,83.0048,chickpea
38,63,76,17.1901,18.259,7.6282,63.8848,chickpea
58,59,79,21.2248,16.0119,8.005,76.4429,chickpea
51,77,73,21.6947,15.5623,8.2914,72.2384,chickpea
30,67,78,20.504,20.233,7.6047,82.3242,chickpea
39,80,77,19.4865,15.5099,7.7133,76.0666,chickpea
27,62,78,17.214,15.8173,7.4605,88.9853,chickpea
58,70,84,17.6053,13.8524,5.6662,72.1541,chickpea
26,64,75,17.1264,14.9568,7.7455,81.6785,chickpea
25,81,78,21.2371,15.6793,6.7448,74.6213,chickpea
52,63,77,19.4947,18.1435,6.1766,91.3519,chickpea
54,57,83,17.1458,16.078,7.3917,83.9227,chickpea
37,70,82,19.7146,17.0656,6.0602,78.3504,chickpea
50,74,77,19.4739,19.6465,8.1394,77.8137,chickpea
20,67,75,20.0548,14.363,7.3279,99.2172,chickpea
43,78,80,16.8709,19.4527,7.6026,88.8588,chickpea
26,61,75,18.8727,17.0218,7.1167,81.4815,chickpea
20,73,85,20.5717,20.1434,5.5904,72.861,chickpea
21,65,84,18.4158,15.3124,5.9055,96.1833,chickpea
38,62,85,19.7909,20.0547,6.4797,91.1122,chickpea
31,65,77,19.0081,17.5918,8.0847,75.6877,chickpea
49,76,83,17.5042,20.7717,6.7597,73.2905,chickpea
55,76,78,17.667,20.6641,8.7716,81.8358,chickpea
53,76,77,20.4486,17.4896,7.9332,90.3216,chickpea
26,57,85,19.2035,18.395,7.0904,71.3722,chickpea
36,79,84,20.1417,15.3061,8.3432,85.494,chickpea
45,63,78,20.0503,15.1755,8.2424,66.1307,chickpea
38,76,77,19.904,17.0911,8.9014,75.0503,chickpea
44,67,79,17.7977,18.6012,7.258,67.8854,chickpea
29,54,84,20.7457,18.7454,5.9832,62.4434,chickpea
41,75,75,16.7962,18.0027,6.3249,76.8253,chickpea
38,73,16,22.4991,19.804,5.9427,100.8639,kidneybeans
39,51,19,16.4961,18.4065,5.3265,76.4108,kidneybeans
21,79,14,18.1363,20.5715,5.6134,70.7622,kidneybeans
39,61,24,16.1914,22.9617,5.3678,98.0589,kidneybeans
32,62,22,16.0779,19.9515,5.6774,129.1621,kidneybeans
25,78,25,18.5008,18.4842,5.5225,101.1582,kidneybeans
30,58,14,25.0407,24.7211,5.8353,114.0735,kidneybeans
25,62,16,17.924,21.0664,5.748,125.1155,kidneybeans
22,76,17,21.147,17.6413,5.8186,83.1427,kidneybeans
26,78,19,23.9632,19.5983,5.761,101.8163,kidneybeans
35,60,26,21.9629,22.0389,6.0192,65.9515,kidneybeans
29,66,15,23.899,22.9843,6.0204,136.6154,kidneybeans
35,79,17,15.7566,21.1102,5.999,97.2595,kidneybeans
33,69,17,25.6005,23.2301,5.9439,90.3816,kidneybeans
23,63,16,15.0323,26.3597,5.687,110.3957,kidneybeans
35,56,19,15.9877,21.2084,5.9616,115.899,kidneybeans
25,62,17,22.5062,22.3361,5.8093,79.35,kidneybeans
31,66,18,22.0623,17.7469,5.6861,108.3559,kidneybeans
34,83,19,21.0953,17.9319,5.8424,113.4946,kidneybeans
23,62,22,18.3383,19.617,5.9434,93.0334,kidneybeans
28,57,23,19.8752,23.8747,5.6212,104.1059,kidneybeans
21,55,17,23.0828,18.7377,5.7396,92.2926,kidneybeans
32,65,16,16.5638,19.8389,5.7646,137.0985,kidneybeans
25,60,25,16.0285,20.9843,6.0265,129.0059,kidneybeans
22,57,25,18.2648,21.7212,5.6825,123.125,kidneybeans
40,68,18,18.3829,18.7078,5.8007,127.7115,kidneybeans
32,55,17,20.4213,18.672,5.9973,78.5249,kidneybeans
35,75,19,20.3269,24.6142,5.8175,129.5011,kidneybeans
33,76,19,22.7334,24.2247,5.5132,91.4689,kidneybeans
33,64,17,19.2183,22.1568,5.5534,64.5747,kidneybeans
32,72,16,21.0273,22.8072,5.7054,123.4317,kidneybeans
33,74,21,22.7207,24.2941,5.7224,108.3987,kidneybeans
18,69,21,23.7285,18.4767,5.8528,108.2273,kidneybeans
34,67,18,17.5686,19.9862,5.9978,88.3263,kidneybeans
23,63,15,15.6867,21.7133,5.831,106.5611,kidneybeans
37,64,19,23.7763,23.7647,5.7655,97.6227,kidneybeans
21,60,21,20.1779,19.4911,5.6607,66.1308,kidneybeans
31,73,27,17.1884,22.2874,5.9535,98.6066,kidneybeans
29,76,21,19.4648,23.7605,5.7219,99.9727,kidneybeans
24,62,20,18.1462,18.2743,5.8451,100.5403,kidneybeans
37,71,21,18.0973,16.7596,5.6693,105.2574,kidneybeans
26,69,15,15.1937,19.7374,5.6699,90.2268,kidneybeans
29,68,25,17.0871,21.9447,5.9263,113.9639,kidneybeans
27,56,25,15.2343,18.6011,5.6316,108.993,kidneybeans
32,59,22,18.9255,24.9369,5.9879,138.9855,kidneybeans
24,55,24,14.8005,21.7648,5.8346,120.395,kidneybeans
35,83,17,20.7397,23.1285,5.7772,74.9236,kidneybeans
35,64,16,17.204,19.7711,5.6955,79.9381,kidneybeans
26,76,27,21.4315,18.8944,5.7896,134.4643,kidneybeans
24,64,20,22.0641,22.7886,5.5974,70.2691,kidneybeans
34,57,18,15.678,19.179,5.6017,78.8908,kidneybeans
35,66,27,17.8792,21.0258,5.8774,63.961,kidneybeans
32,83,24,19.0739,19.0563,5.6755,127.4271,kidneybeans
33,59,27,18.1503,20.2123,5.7127,117.2044,kidneybeans
23,71,23,23.1518,21.4541,5.5718,65.8647,kidneybeans
29,71,17,23.2003,22.3658,5.4776,70.2753,kidneybeans
30,63,14,22.1808,22.7626,5.7099,121.0196,kidneybeans
23,74,22,20.4856,24.5241,5.7322,136.5303,kidneybeans
34,63,15,20.2815,24.8757,5.5176,80.316,kidneybeans
27,63,20,24.7339,20.4251,5.7165,93.2374,kidneybeans
22,79,22,24.2801,21.5942,5.705,83.6804,kidneybeans
28,72,24,21.5378,18.9842,5.5937,97.8131,kidneybeans
24,73,24,18.771,21.5281,5.8002,98.7615,kidneybeans
38,69,23,17.3027,23.6911,5.407,102.3741,kidneybeans
31,56,16,24.1345,19.8933,5.9957,147.9692,kidneybeans
40,78,16,17.4058,20.5216,5.5792,137.5941,kidneybeans
25,55,15,21.0813,25.8654,5.6105,134.8801,kidneybeans
29,79,22,23.9781,22.3362,5.789,112.319,kidneybeans
19,55,23,17.883,18.9169,5.9095,82.9454,kidneybeans
35,56,22,21.8471,20.3659,5.9757,83.0983,kidneybeans
25,64,24,21.7818,23.9055,5.6846,87.126,kidneybeans
31,67,18,19.9911,21.8757,5.9259,85.4815,kidneybeans
22,71,21,21.4687,18.3084,5.678,91.9519,kidneybeans
40,61,22,17.3389,22.4465,6.0355,117.1103,kidneybeans
31,58,17,17.9483,21.3114,5.5663,59.3487,kidneybeans
33,66,18,23.1749,23.6378,5.6393,148.2064,kidneybeans
40,78,18,24.3859,18.5477,5.6267,98.2173,kidneybeans
34,55,23,20.1777,24.3139,5.6636,73.6144,kidneybeans
31,62,27,24.1921,24.6875,5.6683,103.8695,kidneybeans
22,70,17,21.5674,20.8767,5.795,82.2799,kidneybeans
29,60,22,22.9064,19.8191,5.7203,116.9412,kidneybeans
28,78,22,17.99,20.1628,5.7194,109.5501,kidneybeans
43,66,15,18.5848,20.0504,5.5552,84.7806,kidneybeans
28,76,13,22.4227,17.3441,5.7402,128.5891,kidneybeans
28,73,15,24.2254,19.8931,5.7175,102.481,kidneybeans
23,54,23,23.6982,22.8534,5.6742,87.3845,kidneybeans
19,57,20,24.5284,22.509,5.7731,113.6638,kidneybeans
38,71,22,15.5686,18.2988,5.5461,58.7918,kidneybeans
24,65,18,20.518,23.4462,6.107,62.7678,kidneybeans
25,68,19,16.6602,26.1647,5.4258,134.6196,kidneybeans
23,77,15,14.8816,22.9179,5.6355,141.5328,kidneybeans
25,76,25,16.2859,19.4124,5.7135,69.5093,kidneybeans
22,77,24,19.4032,22.9405,5.9923,110.3585,kidneybeans
33,71,21,17.2161,21.3907,6.0135,73.3641,kidneybeans
38,60,16,23.2183,17.7036,6.1157,146.8561,kidneybeans
35,63,21,23.6002,17.9753,5.8939,115.9394,kidneybeans
39,68,17,18.6885,25.6957,5.591,134.4941,kidneybeans
30,65,15,18.1629,21.4585,5.7917,132.0559,kidneybeans
33,69,20,14.0907,22.6394,5.933,100.9647,kidneybeans
35,61,18,19.24,19.8624,5.7836,121.7391,kidneybeans
2,68,14,28.3407,64.3161,7.6748,136.5624,pigeonpeas
20,65,18,27.4248,64.7723,6.9097,123.4485,pigeonpeas
22,70,16,27.216,33.8667,5.9483,170.6594,pigeonpeas
36,56,23,23.7707,43.3158,6.1564,185.8299,pigeonpeas
15,75,21,27.5369,70.1347,6.1005,104.0664,pigeonpeas
23,71,21,20.262,51.1568,5.3957,88.7251,pigeonpeas
33,80,17,23.3503,65.6726,5.1441,161.1136,pigeonpeas
1,69,16,35.0127,60.0894,6.5682,180.0351,pigeonpeas
22,58,18,25.7356,55.0295,4.6881,107.5636,pigeonpeas
5,79,16,24.7679,31.1055,5.2755,179.2906,pigeonpeas
1,73,25,32.0721,49.4058,5.3744,183.0991,pigeonpeas
38,83,13,19.6165,39.2348,6.6218,186.7673,pigeonpeas
21,70,14,25.6803,41.8812,6.2476,160.6795,pigeonpeas
20,65,18,28.0177,30.5962,4.8631,176.2819,pigeonpeas
35,81,21,18.7979,56.5327,5.916,138.3769,pigeonpeas
9,76,21,27.6562,52.1808,5.6904,179.9713,pigeonpeas
35,69,16,18.8216,33.566,6.6494,118.3678,pigeonpeas
7,76,26,27.3068,58.4842,5.8776,109.2745,pigeonpeas
5,66,23,32.625,48.8884,7.5342,116.4409,pigeonpeas
15,64,17,20.5658,41.9684,6.5076,134.069,pigeonpeas
7,60,19,31.7331,41.722,4.7463,106.9297,pigeonpeas
12,71,16,25.2213,44.3163,6.4554,100.0074,pigeonpeas
26,60,27,23.5857,53.0418,6.8618,132.7265,pigeonpeas
17,57,22,21.7507,41.5451,6.9828,96.9309,pigeonpeas
40,75,20,21.5422,66.3332,5.7503,99.4997,pigeonpeas
21,61,15,17.7694,46.7322,7.2269,156.2364,pigeonpeas
5,77,21,20.7217,47.3836,5.0897,175.993,pigeonpeas
33,75,21,32.4069,51.1964,7.2208,123.6524,pigeonpeas
5,70,12,19.5824,39.6282,5.9606,136.6669,pigeonpeas
8,62,23,33.1778,57.0618,6.0005,155.1379,pigeonpeas
35,58,19,33.8836,67.4375,4.9041,135.424,pigeonpeas
8,74,22,18.7004,65.0539,7.7141,98.9261,pigeonpeas
21,56,23,23.7389,62.7469,5.8298,114.4381,pigeonpeas
37,60,20,21.1711,49.8693,5.9428,179.313,pigeonpeas
10,61,10,29.3179,39.5403,4.5773,113.1009,pigeonpeas
34,69,19,35.6717,30.782,5.2915,158.6793,pigeonpeas
13,61,21,20.0261,67.3467,6.1507,125.011,pigeonpeas
29,58,17,33.6438,31.8837,7.18,143.8944,pigeonpeas
31,76,17,25.1266,66.5682,6.6335,128.5384,pigeonpeas
13,73,25,31.3568,28.9819,5.1179,147.7814,pigeonpeas
38,69,20,35.0203,44.0933,6.3255,90.8885,pigeonpeas
31,65,15,27.7345,63.9707,5.2804,111.065,pigeonpeas
0,84,18,21.1049,57.6999,5.2067,159.4811,pigeonpeas
17,71,14,34.8255,45.9882,6.9045,96.0928,pigeonpeas
24,58,22,22.6141,64.6562,7.515,186.7334,pigeonpeas
7,68,21,30.0389,33.2938,6.2789,106.2863,pigeonpeas
18,68,21,17.8882,56.6661,6.5733,116.5556,pigeonpeas
4,53,17,34.3161,46.2583,6.9431,198.9256,pigeonpeas
34,56,20,33.9172,47.9848,6.045,97.4294,pigeonpeas
27,75,23,30.1187,35.2235,7.5428,107.9857,pigeonpeas
18,73,19,19.6727,69.1313,7.494,128.331,pigeonpeas
26,75,15,34.1647,47.2004,5.3605,111.7403,pigeonpeas
38,76,17,27.3987,39.1499,5.6127,180.9287,pigeonpeas
24,66,16,32.1257,51.1765,4.8761,166.0409,pigeonpeas
18,79,20,21.1438,39.8777,6.1424,109.2184,pigeonpeas
38,77,15,34.8821,44.4252,4.6281,139.7149,pigeonpeas
27,65,23,34.3723,35.0324,6.2874,119.9234,pigeonpeas
